id,observed_on_string,observed_on,time_observed_at,quality_grade,license,url,image_url,tag_list,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,private_place_guess,coordinates_obscured,place_town_name,place_county_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
52876437,2020/06/30 3:25 PM PDT,2020-06-30,2020-06-30 22:25:00 UTC,research,CC0,https://www.inaturalist.org/observations/52876437,https://inaturalist-open-data.s3.amazonaws.com/photos/84076595/medium.jpeg,"",false,"Division No. 9, Alberta, Canada",52.05084,-116.41162,,,false,,Division No. 9,Alberta,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
52878938,2020/06/30 4:00 PM PDT,2020-06-30,2020-06-30 23:00:00 UTC,research,CC0,https://www.inaturalist.org/observations/52878938,https://inaturalist-open-data.s3.amazonaws.com/photos/84078038/medium.jpeg,"",false,"Division No. 9, Alberta, Canada",52.0384616667,-116.42208,,,false,,Division No. 9,Alberta,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
53124456,Sun Jul 12 2020 09:48:12 GMT-0700 (MST),2020-07-12,2020-07-12 15:48:12 UTC,research,CC0,https://www.inaturalist.org/observations/53124456,https://inaturalist-open-data.s3.amazonaws.com/photos/84480852/medium.jpg,"",false,"Peace River C, BC, CA",56.3185,-120.99098333,5,,false,,Peace River,British Columbia,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
53291095,Thu Jul 16 2020 13:40:26 GMT-0600 (MDT),2020-07-16,2020-07-16 19:40:26 UTC,research,CC0,https://www.inaturalist.org/observations/53291095,https://inaturalist-open-data.s3.amazonaws.com/photos/84750843/medium.jpg,"",false,"Bow Valley Trail, Canmore, AB, CA",51.1065364816,-115.365438423,20,,false,,Division No. 15,Alberta,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
53531709,Sat Jul 18 2020 14:24:58 GMT-0700 (PDT),2020-07-18,2020-07-18 21:24:58 UTC,research,CC0,https://www.inaturalist.org/observations/53531709,https://inaturalist-open-data.s3.amazonaws.com/photos/85146309/medium.jpg,"",false,"Rosebery Provincial Park, BC, CA",50.0336975432,-117.4029104113,24,,false,,Central Kootenay,British Columbia,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
53661640,Sun Jul 19 2020 14:14:25 GMT-0700 (MST),2020-07-19,2020-07-19 20:14:25 UTC,research,CC0,https://www.inaturalist.org/observations/53661640,https://inaturalist-open-data.s3.amazonaws.com/photos/85356884/medium.jpg,"",false,"Charlie Lake, BC, CA",56.32436333,-120.95632167,5,,false,,Peace River,British Columbia,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
53664510,Sun Jul 19 2020 14:39:46 GMT-0700 (MST),2020-07-19,2020-07-19 20:39:46 UTC,research,CC0,https://www.inaturalist.org/observations/53664510,https://inaturalist-open-data.s3.amazonaws.com/photos/85361704/medium.jpg,"",false,"Beatton Provincial Park, BC, CA",56.32708667,-120.95410833,5,,false,,Peace River,British Columbia,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
53745253,Mon Jul 20 2020 09:50:47 GMT-0700 (PDT),2020-07-20,2020-07-20 16:50:47 UTC,research,CC0,https://www.inaturalist.org/observations/53745253,https://inaturalist-open-data.s3.amazonaws.com/photos/85493811/medium.jpg,"",false,"Rosebery Provincial Park, BC, CA",50.0334087764,-117.4038266816,4,,false,,Central Kootenay,British Columbia,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
54028591,Wed Jul 22 2020 12:08:18 GMT-0700 (PDT),2020-07-22,2020-07-22 19:08:18 UTC,research,CC0,https://www.inaturalist.org/observations/54028591,https://inaturalist-open-data.s3.amazonaws.com/photos/85951249/medium.jpg,"",false,"Okanagan-Similkameen H, BC, CA",49.7034289906,-120.6112537358,4927,,false,,Okanagan-Similkameen,British Columbia,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
54076034,Wed Jul 22 2020 09:33:16 GMT-0400 (EDT),2020-07-22,2020-07-22 13:33:16 UTC,research,CC0,https://www.inaturalist.org/observations/54076034,https://inaturalist-open-data.s3.amazonaws.com/photos/86025460/medium.jpg,"",false,"MacGregor Point Provincial Park, Saugeen Shores, ON, CA",44.41929667,-81.45615333,5,,false,,Bruce Extension,Ontario,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
